dictionary,rule,size,k1,
doubled.dict,word_year_sc.rule,2897560,3.861185009826581,
doubled.dict,year_sc_word.rule,440050,3.861185009826581,
doubled.dict,year_word.rule,88010,5.542799359602366,
doubled.dict,year_word_sc.rule,352040,3.861185009826581,
kb_change_rus,1-0_sc_word.rule,102428578,3.861185009826581,
kb_change_rus,1-0_word.rule,24982580,3.861185009826581,
kb_change_rus,day_cc_word.rule,77445998,3.861185009826581,
kb_change_rus,day_dd_word.rule,7744599800,3.861185009826581,
kb_change_rus,day_mon_dd_word.rule,91246375192,3.861185009826581,
kb_change_rus,day_word.rule,77445998,3.861185009826581,
kb_change_rus,day_word_dd.rule,7744599800,3.861185009826581,
kb_change_rus,day_word_sc.rule,387229990,3.861185009826581,
kb_change_rus,day_word_year.rule,12841046120,3.861185009826581,
kb_change_rus,dddd_word.rule,24982580000,3.861185009826581,
kb_change_rus,ddd_word.rule,2498258000,3.861185009826581,
kb_change_rus,dd_word.rule,249825800,3.861185009826581,
kb_change_rus,d_sc_word.rule,124912900,3.861185009826581,
kb_change_rus,d_word.rule,24982580,3.861185009826581,
kb_change_rus,sc_dddd_word.rule,124912900000,3.861185009826581,
kb_change_rus,sc_dd_word.rule,1249129000,3.861185009826581,
kb_change_rus,sc_word_d.rule,99930320,3.861185009826581,
kb_change_rus,sc_word_dd_mon_sc.rule,12990941600,3.861185009826581,
kb_change_rus,sc_word_dd_sc.rule,999303200,3.861185009826581,
kb_change_rus,sc_word_mon_day_sc.rule,4157101312,3.861185009826581,
kb_change_rus,sc_word_year.rule,1299094160,3.861185009826581,
kb_change_rus,sc_word_year_sc.rule,1299094160,3.861185009826581,
kb_change_rus,sc_year_word.rule,1623867700,3.861185009826581,
kb_change_rus,word_2sc_dd.rule,1751278858,3.861185009826581,
kb_change_rus,word_day_dd_mon.rule,103930031058,3.861185009826581,
kb_change_rus,word_day_mon.rule,1044271844,3.861185009826581,
kb_change_rus,word_day_mon_dd.rule,91246375192,3.861185009826581,
kb_change_rus,word_day_mon_sc.rule,6250641516,4.5845123154323675,
kb_change_rus,word_day_mon_year.rule,46467598800,3.861185009826581,
kb_change_rus,word_dd.rule,249825800,6.031166926643941,
kb_change_rus,word_ddd.rule,2498258000,3.861185009826581,
kb_change_rus,word_dddd.rule,24982580000,3.861185009826581,
kb_change_rus,word_ddd_sc.rule,17490304258,3.861185009826581,
kb_change_rus,word_dd_2sc.rule,1748780600,3.861185009826581,
kb_change_rus,word_dd_age.rule,2798048960,3.861185009826581,
